"end_lat","end_lng","number_of_members","number_of_casuals","number_of_electric","number_of_classic","number_of_docked","total"
41.77,-87.76,0,1,1,0,0,1
41.77,-87.74,4,9,13,0,0,13
41.77,-87.73,43,185,228,0,0,228
41.77,-87.72,38,105,143,0,0,143
41.77,-87.71,7,34,41,0,0,41
41.77,-87.7,50,61,111,0,0,111
41.77,-87.69,65,231,296,0,0,296
41.77,-87.68,6,14,20,0,0,20
41.77,-87.67,8,10,18,0,0,18
41.77,-87.66,22,34,56,0,0,56
41.77,-87.65,74,36,110,0,0,110
41.77,-87.64,32,90,122,0,0,122
41.77,-87.63,21,56,77,0,0,77
41.77,-87.62,10,38,48,0,0,48
41.77,-87.61,18,116,134,0,0,134
41.77,-87.6,12,42,53,1,0,54
41.77,-87.59,97,155,252,0,0,252
41.77,-87.58,125,89,214,0,0,214
41.77,-87.57,200,113,313,0,0,313
41.77,-87.56,39,38,77,0,0,77
41.77,-87.55,1,0,1,0,0,1
41.773458,-87.58534,0,29,0,0,29,29
41.77345849948,-87.5853397391,140,309,158,291,0,449
41.77351755125,-87.5771428255,181,330,235,276,0,511
41.773518,-87.577143,0,70,0,0,70,70
41.773643,-87.567514,712,552,385,770,109,1264
41.77366221,-87.567373395,0,1,1,0,0,1
41.77372095205,-87.60563486,219,189,181,227,0,408
41.773721,-87.605635,0,15,0,0,15,15
41.774074,-87.663815,47,27,35,35,4,74
41.775393,-87.654308,11,60,34,32,5,71
41.778881,-87.586647,163,305,164,241,63,468
41.779374,-87.664843,89,104,97,87,9,193
41.779381,-87.644621,0,21,0,0,21,21
41.77938114228,-87.6446208145,151,172,166,157,0,323
41.779835,-87.634774,61,134,71,121,3,195
41.77987,-87.650919,11,42,17,36,0,53
41.78,-87.78,3,1,4,0,0,4
41.78,-87.77,0,2,2,0,0,2
41.78,-87.76,0,2,2,0,0,2
41.78,-87.74,10,26,36,0,0,36
41.78,-87.73,106,250,356,0,0,356
41.78,-87.72,196,353,549,0,0,549
41.78,-87.71,174,392,566,0,0,566
41.78,-87.7,155,369,524,0,0,524
41.78,-87.69,81,112,193,0,0,193
41.78,-87.68,40,95,135,0,0,135
41.78,-87.67,48,18,66,0,0,66
41.78,-87.66,11,27,38,0,0,38
41.78,-87.65,19,28,47,0,0,47
41.78,-87.64,36,65,101,0,0,101
41.78,-87.63,18,33,51,0,0,51
41.78,-87.62,55,57,112,0,0,112
41.78,-87.61,457,219,675,1,0,676
41.78,-87.6,1317,446,1763,0,0,1763
41.78,-87.59,219,188,398,9,0,407
41.78,-87.58,42,81,123,0,0,123
41.78,-87.57,95,128,223,0,0,223
41.78007963264,-87.6297463052,161,259,236,184,0,420
41.78008,-87.629746,0,9,0,0,9,9
41.78008063659,-87.6159428567,234,246,253,227,0,480
41.780081,-87.615943,0,18,0,0,18,18
41.7804056457,-87.5914159893,415,494,357,552,0,909
41.780406,-87.591416,0,59,0,0,59,59
41.7804796666667,-87.5913633333333,0,1,1,0,0,1
41.7805309407088,-87.6059702038765,530,301,334,497,0,831
41.780531,-87.60597,0,17,0,0,17,17
41.780595,-87.584846,90,113,59,130,14,203
41.7806009452142,-87.6058360934258,370,300,310,360,0,670
41.780601,-87.605836,0,31,0,0,31,31
41.780910964248,-87.5763237476349,397,421,186,632,0,818
41.780911,-87.576324,0,109,0,0,109,109
41.783189,-87.654372,10,69,38,30,11,79
41.784071,-87.614484,0,27,0,0,27,27
41.784071072761,-87.6144835352898,246,266,251,261,0,512
41.78414169317,-87.6133078304,35,48,55,28,0,83
41.784142,-87.613308,0,1,0,0,1,1
41.785024524,-87.601127505,1,0,1,0,0,1
41.7850961666667,-87.6011535,0,1,1,0,0,1
41.785097,-87.601073,0,247,0,0,247,247
41.78509714636,-87.6010727606,23955,5195,6963,22187,0,29150
41.7851865,-87.6010415,1,0,1,0,0,1
41.785861,-87.674144,0,14,0,0,14,14
41.785861065132,-87.674143910408,31,240,150,121,0,271
41.786833,-87.666215,19,48,38,26,3,67
41.787539,-87.644874,33,58,24,64,3,91
41.7879341666667,-87.5888393333333,0,1,1,0,0,1
41.78794281287,-87.5883151702,5445,1042,1688,4799,0,6487
41.787943,-87.588315,0,82,0,0,82,82
41.788707376,-87.601280451,0,1,1,0,0,1
41.788746,-87.601334,9904,2277,2607,9462,112,12181
41.7887508333333,-87.6014151666667,0,1,1,0,0,1
41.7887543333333,-87.601375,0,1,1,0,0,1
41.7896968804834,-87.65469789505,99,35,98,36,0,134
41.789697,-87.654698,0,3,0,0,3,3
41.79,-87.8,0,6,6,0,0,6
41.79,-87.79,0,2,2,0,0,2
41.79,-87.77,0,4,4,0,0,4
41.79,-87.75,0,1,1,0,0,1
41.79,-87.74,81,288,369,0,0,369
41.79,-87.73,67,135,202,0,0,202
41.79,-87.72,112,318,430,0,0,430
41.79,-87.71,131,546,677,0,0,677
41.79,-87.7,299,715,1014,0,0,1014
41.79,-87.69,106,542,647,1,0,648
41.79,-87.68,14,45,59,0,0,59
41.79,-87.67,2,26,28,0,0,28
41.79,-87.66,22,39,61,0,0,61
41.79,-87.65,71,26,97,0,0,97
41.79,-87.64,3,7,10,0,0,10
41.79,-87.63,74,52,126,0,0,126
41.79,-87.62,108,134,242,0,0,242
41.79,-87.61,166,55,220,1,0,221
41.79,-87.6,6908,1779,8683,4,0,8687
41.79,-87.59,1786,650,2432,4,0,2436
41.79,-87.58,304,215,519,0,0,519
41.791478,-87.599861,25478,6388,7960,23616,290,31866
41.791483402,-87.599937201,1,0,1,0,0,1
41.7914868333333,-87.599992,1,0,1,0,0,1
41.7915408333333,-87.6078356666667,1,0,1,0,0,1
41.791568,-87.607852,0,45,0,0,45,45
41.79156801058,-87.6078521774,785,333,341,777,0,1118
41.791728,-87.583945,0,625,0,0,625,625
41.79172820953,-87.583945009,1801,2368,1405,2764,0,4169
41.792822,-87.664429,35,118,95,50,8,153
41.79292964599,-87.6449900565,54,62,49,67,0,116
41.79293,-87.64499,0,8,0,0,8,8
41.793242,-87.587782,6467,2527,2189,6635,170,8994
41.793429,-87.615853,0,22,0,0,22,22
41.79342945658,-87.6158532619,115,187,113,189,0,302
41.7934668333333,-87.6158608333333,0,1,1,0,0,1
41.794087,-87.675478,17,146,45,104,14,163
41.794228,-87.655073,85,160,97,134,14,245
41.79430062054,-87.6014497734,19060,4102,5691,17471,0,23162
41.794301,-87.60145,0,145,0,0,145,145
41.7943128333333,-87.6014948333333,1,0,1,0,0,1
41.794318557,-87.60145545,0,1,1,0,0,1
41.7943358333333,-87.6012665,0,1,1,0,0,1
41.794853,-87.618691,891,660,611,865,75,1551
41.794982,-87.633124,230,199,193,225,11,429
41.795212,-87.580715,7619,5143,3543,8562,657,12762
41.795264,-87.596471,7215,2677,2813,6917,162,9892
41.7952898333333,-87.5964885,1,0,1,0,0,1
41.796642,-87.625923,109,74,60,107,16,183
41.799336,-87.600958,0,122,0,0,122,122
41.79933626261,-87.6009581145,5390,1196,1633,4953,0,6586
41.799341,-87.5947003333333,0,1,1,0,0,1
41.799494,-87.58645,0,313,0,0,313,313
41.79949429373,-87.5864498959,5103,2865,2665,5303,0,7968
41.7995435,-87.5948121666667,1,0,1,0,0,1
41.799568,-87.594747,13215,5306,5753,12484,284,18521
41.7996006666667,-87.5948331666667,0,1,1,0,0,1
41.799659,-87.657195,55,70,82,33,10,125
41.7996783333333,-87.6571536666667,0,1,1,0,0,1
41.8,-87.8,1,0,1,0,0,1
41.8,-87.78,0,1,1,0,0,1
41.8,-87.77,1,4,5,0,0,5
